artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,526,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,0,0.01,4.53105902671814,0,135,0,100,0.5,775,0.1,1,0.177142174832544,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,36,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.787742137908935,0,135,0,100,0.5,776,0.1,1,0.173411218880399,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,37,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.075679063797,0,135,0,100,0.5,777,0.1,1,0.170246048352097,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,38,image,0.6,0.4,0.1,ab,0,480.483154296875,612.205261230469
8,3.5,0,0.01,7.5483410358429,0,135,0,100,0.5,834,0.1,1,0.182707371923875,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,39,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.97591924667358,0,135,0,100,0.5,835,0.1,1,0.178386890710298,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,image,0.6,0.4,0.1,ab,0,372.390258789062,312.682006835937
8,3.5,1,0.01,3.96825385093689,0,135,0,100,0.5,852,0.1,1,0.194871022655419,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.986711740493774,0,135,0,100,0.5,853,0.1,1,0.188583534229343,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.789865493774414,0,135,0,100,0.5,854,0.1,1,0.183399225730829,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.805753469467163,0,135,0,100,0.5,855,0.1,1,0.179112791619917,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.866209030151367,0,135,0,100,0.5,856,0.1,1,0.175558554533551,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.707568645477295,0,135,0,100,0.5,857,0.1,1,0.172602160487491,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.27179622650146,0,135,0,100,0.5,858,0.1,1,0.170134135775232,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,40,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,3.00429201126099,0,135,0,100,0.5,868,0.1,1,0.194871022655419,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.672802448272705,0,135,0,100,0.5,869,0.1,1,0.188583534229343,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.622246980667114,0,135,0,100,0.5,870,0.1,1,0.183399225730829,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.720351457595825,0,135,0,100,0.5,871,0.1,1,0.179112791619917,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.37489247322083,0,135,0,100,0.5,872,0.1,1,0.175558554533551,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.14426159858704,0,135,0,100,0.5,873,0.1,1,0.172602160487491,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.980358600616455,0,135,0,100,0.5,874,0.1,1,0.170134135775232,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.702554702758789,0,135,0,100,0.5,875,0.1,1,0.168064851589815,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.30657720565796,0,135,0,100,0.5,876,0.1,1,0.166320560329485,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,47,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.67639875411987,0,135,0,100,0.5,888,0.1,1,0.194871022655419,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.736833572387695,0,135,0,100,0.5,889,0.1,1,0.188583534229343,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.774072170257568,0,135,0,100,0.5,890,0.1,1,0.183399225730829,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.766018152236939,0,135,0,100,0.5,891,0.1,1,0.179112791619917,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
